nngc 快到
pnkf 密叶
pnkm 官员
pnkq 官史
pnlf 官署
pnll 官田
pnlw 官办
pnnd 官居
pnng 官司
pnnu 社情民意
pnop 官迷
pnoy 蜜糖
pnpa 官宦
pnpe 官家
pnpf 密宗
pnpg 密室
pnph 寥寂
pnpl 官军
pnpn 寥寥
pnpt 补己之短
pnpu 实心实意
pnpw 官窑
pnqa 官邸
pnqe 密钥
pnqf 突飞猛进
pnqg 官印
pnqk 官名
pnqn 蜜饯
pnqo 安居乐业
pnrb 密报
pnrf 密技
pnrg 官兵
pnrm 蜜罐
pnrn 官气
pnrp 密探
pnrv 官势
pnsa 蜜柑
pnsc 蜜橘
pnsf 密植
pnsg 官本
pnsi 蜜桃
pnss 密林
pnsu 官样
pnt 密
pnta 官长
pntd 蜜甜
pntf 密告
pntg 实习生
pntj 蜜
pntm 密
pntq 官衔
pntr 宓
pntw 宽以待人
pnub 官瘾
pnud 官差
pnuf 密闭
pnug 冠心病
pnum 官商
pnut 官道
pnuu 鹤发童颜
pnvk 密召
pnvw 视民如伤
pnvy 定心丸
pnw 寥
pnwb 官仓
pnwd 官僚
pnwe 寥
pnwf 密会
pnwg 官倒
pnwr 密件
pnwu 官位
pnww 官价
pnwy 密集 密令
pnxe 密级
pnxi 穿壁引光
pnxj 密旨
pnxq 密约
pny 廴
pnya 密度 密谋
pnyg 密语
pnyl 窃以为
pnyn 官房
pnyo 密谈
pnyt 官话
pnyv 密诏
pnyw 官府
pnyy 官方
po 灾
poaq 灾区
poay 灾荒
pobw 穿凿附会
pocw 灾难
podb 灾厄
pogq 灾殃
pojt 灾星
pokk 灾患
pona 灾民
pong 灾情
popd 灾害
pope 实业家
popy 灾祸
porg 灾后
porh 灾年
pou 灾
poum 军火商
poyl 军火库
poyo 灾变
pp 之
ppaa 密密匝匝
ppag 安之若素
ppay 安家落户
ppbf 之际
ppck 写字台
ppcu 冤家对头
ppdc 之友
ppdd 实实在在
ppdg 之三
ppdh 之夏
ppdj 之辈
ppdw 之春
ppdy 宽宏大度
ppet 之用
ppeu 宾客盈门
ppfb 之地
ppfg 之二
ppfi 祸福无常
ppfm 寥寥无几
ppfn 之声
ppfp 之过
ppft 之才
ppgc 之至
ppgg 之一
ppgh 之下
ppgj 之理
ppgk 之事
ppgm 空穴来风
ppgq 之列
pphh 之上
pphk 之战
ppid 之源
ppii 之水
ppiq 之光
ppiv 窈窕淑女
ppiw 之举
ppiy 之流
ppjb 之最
ppjf 之时
ppjj 之日
ppjt 之星
ppkh 之中 之路
ppkp 冤家路窄
ppld 之罪
pplk 神农架
pplt 之力
ppmw 之内
ppng 之情
ppny 之心
ppod 之类
ppp 之
pppe 之家
pppk 冥冥之中
pppp 之
pppu 之初
pppw 之窗
pppy 之神
ppqh 之外
ppqk 之名
ppqo 安家乐业
ppqv 之争
ppqw 穷寇勿追
pprg 之后
pprh 之年
pprr 客客气气
pprv 之势
ppse 之极
ppsg 之本
ppsk 之歌
ppsm 之机
ppso 写字楼
ppsr 官官相护 冤冤相报
ppsw 安守本分
pptf 之行
pptg 之策
ppth 之处
pptk 之和
ppto 之秋
pptq 之称
pptr 之物
pptt 安安稳稳
pptu 之冬
ppty 窃窃私语
ppua 安富尊荣
ppue 之前
ppuj 之间
ppuo 安家立业
ppuq 之交
pput 之首 之道
ppuu 神神道道
ppuy 之门
ppvb 空空如也
ppvf 宾客如云
ppvu 之嫌
ppwq 之父
ppwt 之余
ppwv 之分
ppww 被害人
ppxg 之母
ppxj 安家费
ppxq 之约
ppxt 之乡
ppyf 之计
ppyo 之谜
ppyt 之旅
ppyw 之夜 之论
ppyy 家家户户
pq 宛
pqad 宛若
pqaj 宽银幕
pqaw 冤孽
pqb 宛
pqbb 宛
pqbj 剜
pqbw 军乐队
pqcs 福尔马林
pqdc 容错码
pqdf 突然袭击
pqfc 冤魂
pqfg 安然无事
pqfu 安然无恙
pqfy 窃钩者诛
pqga 安危与共
pqgq 安乐死
pqgx 鸩毒
pqgy 豁然开朗
pqig 宾夕法尼亚
pqjf 密锣紧鼓
pqk 冤
pqky 冤
pqlf 宛转
pqnb 冤屈
pqng 冤情
pqpe 冤家
pqpp 牢狱之灾
pqpv 冤案
pqpw 安乐窝
pqpy 家乐福
pqq 鸩
pqqd 宛然
pqqg 鸩
pqqt 冤狱
pqrm 实名制
pqrn 冤气
pqrq 冤鬼
pqsc 冠名权
pqsd 安乐椅
pqsg 冤枉 穷凶极恶
pqsi 宽猛相济
pqsj 安危相易
pqta 神色自若
pqud 冤判
pqvk 宛如
pqwf 室迩人远
pqwn 宛似
pqwv 冤仇
pqxc 豁然贯通
pqxg 塞尔维亚
pqxu 空包弹
pqxx 穿针引线
pqya 福尔摩斯
pr 宾
prai 神鬼莫测
prbi 官卑职小
prcc 牢骚
prdj 空手而归
preb 宾服
pree 宾朋
preu 穷折腾
prfk 神气十足
prg 宾
prgd 礼拜天
prgw 宾
prgy 宁折不弯
prh 牢
prhj 牢
prhk 空白点
prig 神气活现
prip 礼拜堂
prjj 礼拜日
prkh 牢中
prld 牢固
prle 穷年累月
prlg 穷兵黩武
prnt 实质性
prny 之所以
prpe 宽打窄用
prpq 实报实销
prpr 牢牢
prpt 宾客
prpu 牢实
prpy 守护神
prqi 宁缺勿滥
prqn 宾馆
prqt 牢狱
prsc 审批权
prtd 牢笼
prtf 牢靠
prtj 塞拉利昂
prtk 军兵种
prtq 牢稳
prtw 官报私仇
prty 额手称庆
pruc 袖手旁观
prud 牢头
prut 空手道
pruy 牢门
prxi 宁缺毋滥
prya 牢度
pryg 宾主 宾语
pryn 牢记 牢房
pryq 牢底
pryt 宾州
ps 宁
psbp 宋辽
psdh 宁夏
psdr 宁愿
psfb 穷极无聊
psff 补西墙
psfj 宋朝
psfq 宋元
psge 宁静
psgq 宁死
psgu 宋平
psgy 宋玉
pshe 宁肯
pshw 农机具
psia 宋江
psih 宁波
psip 宋学
psj 宁
psjj 宁日
pskq 宋史
pspy 穷根究底
psqv 空格键
psrd 福楼拜
psrt 神枪手
psru 安哥拉
pssk 宁可
pssv 宁要
pssx 密西西比
psti 农林牧副渔
pstl 富可敌国
pstq 守株待兔
psu 宋
psvt 神机妙算
pswa 宋代
pswf 宋儒
psws 宋体
pswu 官本位
psyf 宋诗
psyl 宁为
psyn 宋词
psyu 官样文章
pt 客
pta 宅
ptab 宅
ptad 宅基
ptag 案牍劳形
ptai 神秘莫测
ptap 神乎其神
ptbb 宅子
ptbp 宅院 社科院
ptbw 客队
ptcm 客观
ptdb 官复原职
ptdd 客套
ptdg 神秘感
ptds 客厅
ptdt 客帮
pteb 客服
ptee 寒冬腊月
ptf 宪
ptfa 穿街过巷
ptfb 之乎者也
ptfc 客运
ptff 客土
ptfn 客场
ptfq 宪
ptgh 宪政
ptgk 家务事
ptgq 客死
pthh 额上
ptia 客满
ptid 客源
ptif 宪法
ptip 客堂
ptit 安徽省
ptiy 客流
ptjh 寄生虫
ptjj 安息日
ptjn 宅电
ptjt 家长里短
ptk 客
ptkf 客
ptkk 客串
ptkm 额 宇航员
ptlg 客车
ptln 家徒四壁
ptlw 客轮
ptme 额骨
ptmq 之我见
ptna 农牧民
ptnd 客居
ptnt 额发
ptny 宅心
ptog 农牧业
ptov 额数
ptpe 客家
ptpf 安身之地
ptpg 额定
ptpn 客官
ptpt 安身之处
ptqa 宅邸
ptqe 额角
ptqg 安德鲁
ptqh 额外
ptqn 客饭
ptrg 宪兵
ptrh 初生牛犊不怕虎
ptrn 客气
ptsf 客票
ptsg 客栈
ptsm 客机
ptss 安德森
pttd 客籍
ptte 客舱
pttg 安徒生
pttr 寄生物
pttx 宅第
ptud 额头
ptue 额前
ptuh 客站
ptuj 宪章
ptum 客商
ptuw 安身立命
ptuy 宅门
ptvg 守身如玉
ptwf 客舍
ptws 客体
ptwu 客位
ptww 客人
ptwx 客货
ptya 额度
ptyh 客店
ptyn 客户 客房
ptyw 客座
pu 实
pua 褡
puad 初期
puaf 补鞋
puag 初七
puah 被卧
puak 褡
puax 补药
pubb 裤子 裙子 袜子
pubf 实际
pubk 实职
pubw 初阶
puc 衩
pucc 裰
pucm 审美观
pucv 鹤立鸡群
pucw 实验
pucy 衩
pud 实
pudd 被套
pudf 褥
pudh 实在
pudm 衬布
pudp 实达
pudr 初愿
puds 富兰克林
pudu 实
pudw 初春
pue 衫
pueb 被服
puee 初月
puef 裤脚
pueg 补助
puep 被爱
pueq 袒胸
pues 裤腰
puet 实用 衫
puev 裤腿
puf 衬 襦
pufb 实地
pufc 被动
pufg 实干
pufh 褂
pufi 补救
pufj 褚 襦
pufk 裸露
pufn 初亏
pufp 补过
pufr 完美无缺
pufs 空头支票
puft 补考
pufu 完美无疵
pufv 初雪
pufy 衬
pug 袜
puga 初开
pugc 初到
puge 裱
pugg 初一
pugh 补正
pugj 实惠
pugk 实事
pugm 实现
pugo 初来
pugs 袜
pugt 裸麦
pugw 袖珍
puh 补
puhc 被
puhi 初步
puhk 实战
puhw 初具
puhy 补
pui 衤
puic 袍泽
puif 初潮
puih 初小
puim 实测
puin 补漏
puip 初学
puit 寓意深长
puiv 裆
puiy 补注
puj 宰
pujc 补肾
pujf 实时
pujg 袒
pujl 褴
pujm 衬映
pujn 褐
pujo 初显
pujr 裼
pujs 裸
pujv 裸照
pujy 实景
puk 裎
puka 家道中落
pukg 裎
pukh 实践 初中 补足
pukk 补品 农产品
pukm 审判员
pukq 初吻
pul 裢
pulh 被罩
pulp 裢
pult 实力
pulw 补办
puly 被罚
pum 袖
pumg 袖
pumh 补贴
pumj 实则
pumq 初见
pumw 衲
pun 袂
puna 初民
pund 裾
pung 实情
punh 实收
punl 襟翼
punn 福音书
punr 褶
punt 补发
punu 实习 补习
punw 袂
puny 实心
puo 褛
puoa 褐煤
puod 裱糊
puog 实业
puou 衬料
puov 实数 褛
pupb 衬字
pupd 被害 宰割
pupf 初赛
pupg 寝室
pupj 初审
pupn 审判官
pupu 衬衫 被褥 襁褓
pupw 被窝
puq 袍
puqc 褪色 褐色
puqd 实然
puqg 被铺
puqi 安道尔
puqj 初旬
puqk 实名
puqn 袍
puqr 裤兜
puqs 被杀 宰杀
puqt 初犯
puqv 褶皱
pur 裨
pura 被拒
purb 补报
purd 神头鬼面
purf 实质 裨
purg 被捕
purh 初年
purk 被扣
purm 补缺 褫
purn 实据
purp 被迫
purr 补白
purt 衬托
purv 实招
pury 袒护
pus 襟
pusc 实权
pusf 补票
pusg 补丁
push 宰相
pusi 襟
pusk 初哥
pusm 裸机
pusr 襻
pust 被覆
pusu 补校
pusv 实根
pusy 补述
put 袄
puta 审判长
putd 袄
putf 实行 被告 初等 衽
putg 初生
puth 实处 初版
putj 实利
putk 袼
putl 实务 补血
puto 初秋
putp 裤管
putr 实物
putu 初冬
puty 初稿
puu 袢
puud 补养
puue 褙
puuf 袢
puuj 被单 裥
puuk 实况
puuq 实效 初次 补交
puuu 补阙
puuw 裨益 补益
puuy 初六
puv 初
puvc 初始 寝
puve 裉
puvf 初建
puvi 实录
puvk 裙
puvn 初
puvp 褪
puvq 初婚
puvt 初九
puw 裕 袷
puwa 裤袋
puwb 初创
puwd 袱
puwe 被俘
puwf 初会
puwg 实例
puwh 补修
puwi 补偿 裣
puwk 裕 袷
puwn 衿
puwq 实像
puws 实体 裸体 褓
puwt 初八
puwu 补位
puww 实价
puwx 补货
pux 襁
puxc 补缀
puxe 初级
puxg 实绩
puxj 襁
puxp 初绽
puxq 衬纸
puxr 空前绝后
puxu 实弹
puxw 补给
puxy 补编
puy 裤
puya 初试 褊
puyc 补充
puyd 实诚
puye 衬衣
puyf 神道设教
puyg 实证
puyj 补课 补齐
puyk 初衷
puyl 裤 实为
puyn 实词
puyo 初恋
puyt 实施 实话
puyu 实说
puyw 初诊
pv 安
pvaa 视如草芥
pvag 突如其来 安葬
pvah 安卧
pvai 福如东海
pvap 安营
pvb 宄
pvbb 案子
pvbj 安阳
pvce 安能
pvcw 案验
pvda 安厝
pvdh 安在
pvdp 安达
pvdt 安邦
pvdw 安泰
pvec 安胎
pvev 安妥
pvf 安
pvfc 安魂
pvfm 安南
pvfr 完好无损
pvfu 安培
pvgb 安顿
pvge 安静
pvgf 安于
pvgu 安平
pvhh 安上
pvhj 案桌
pvhn 安眠
pvht 安睡
pvid 案源
pvit 福建省
pviu 安澜
pvjl 安曼
pvjq 安歇
pvkd 安顺
pvkg 案号
pvkh 案中
pvlf 安置
pvlg 安国
pvmh 案由
pvmp 安迪
pvmt 案几
pvna 安民
pvnd 安居
pvnf 安慰
pvng 案情
pvnt 案发
pvny 安心
pvpc 害群之马
pvpe 安家
pvpf 案宗
pvpg 安定
pvpq 窦娥冤
pvps 安宁
pvpu 安寝
pvpy 安神
pvqd 安危 安然
pvqi 安乐
pvqk 安逸
pvqt 案犯
pvrd 安排
pvrf 安抚
pvrm 农奴制
pvrt 安插
pvru 安拉
pvs 案
pvsk 安可
pvsp 安枕
pvsr 案板
pvsu 案
pvsw 安检
pvtd 安适
pvtg 安生
pvth 安息
pvtj 安利
pvtm 安徽 安身
pvtq 安稳
pvud 案卷 案头
pvuf 安装
pvuk 安瓿
pvus 安闲
pvut 案首
pvvb 安好
pvvn 安妮
pvvv 安娜
pvwf 案值
pvwg 安全 案例
pvwk 安保
pvwr 案件
pvwv 安分
pvww 安坐
pvwx 初始化
pvya 安度
pvyb 安享
pvyd 安庆
pvym 安设
pvyn 安谧
pvyq 案底
pvyt 安放
pvyu 安详
pvyv 安康
pw 空
pwa 空
pwaa 窝工
pwad 穷苦 窝藏
pwaf 空
pwai 空荡
pwaj 帘幕
pwak 空勤
pwan 窍
pwap 宿营
pwat 穿
pwav 窃
pwaw 窗花
pwb 窿
pwbb 窗子 空子 窝子
pwbc 窃取
pwbf 空际
pwbg 窿
pwbi 空隙
pwbm 突出
pwbn 穿孔
pwbq 突陷
pwbt 空降
pwby 空防
pwcf 空对
pwck 窗台
pwcp 寝食难安
pwcw 空难
pwd 突
pwdc 空码
pwdd 安全套
pwde 罕有
pwdf 窃夺
pwdg 安全感
pwdh 突破
pwdi 空耗
pwdj 宿
pwdm 帘布
pwds 宴会厅
pwdt 穿帮
pwdu 突 突厥
pwdx 突袭 空袭
pwdy 窘态
pwee 容貌
pwen 空肠
pwet 空腹
pwf 罕
pwfa 穿戴 空载
pwfb 空地
pwfc 空运
pwfd 窦
pwfh 穿越 突起
pwfi 察
pwfj 突进 罕
pwfk 窃喜
pwfm 突击
pwfp 穿过
pwfq 窥
pwft 穿孝
pwfu 窘境
pwfy 窑坑
pwg 窒
pwga 密集型
pwgb 祸从天降
pwgc 窜到
pwgf 穷于 窒
pwgi 害人不浅
pwgj 穷理
pwgk 窝囊 穷途末路
pwgl 宣传画
pwgm 穿刺
pwgn 窀
pwgp 寝食不安
pwgq 突兀
pwgw 穷追不舍
pwha 空虚
pwhh 穿上
pwhk 空战
pwi 窕
pwia 空港
pwic 穷汉
pwih 窄小
pwim 空洞 窑洞
pwip 察觉
pwiq 窕
pwit 空泛
pwiv 空当
pwiw 穷举
pwj 窠
pwje 察明
pwjg 容量
pwjh 害人虫
pwjn 空暇
pwjo 突显
pwjq 容易
pwjs 窠
pwjy 空旷
pwk 窜
pwkb 祸从口出
pwkd 空喊
pwkh 窜 空中
pwkk 窗口 容器
pwkq 鹤鸣
pwkr 窃听
pwku 空谷足音
pwkw 窝
pwl 穷
pwlb 穷
pwlf 突围 空置
pwlg 穷国
pwls 穷困
pwm 帘
pwma 窃贼
pwmb 空邮
pwmh 帘 窄幅
pwmm 鹤岗
pwmq 罕见 窥见
pwmw 窝内
pwmy 窝赃
pwn 窟
pwnd 穴居
pwng 空屋
pwnh 空疏
pwnm 窟
pwnt 突发
pwnu 突飞
pwny 空心 穷尽
pwo 窭
pwog 穿凿
pwoo 窝火
pwoq 空炮
pwov 窭
pwpd 礼仪之邦
pwpe 窝家
pwpf 窒塞
pwph 空寂
pwpj 突审
pwpl 空军
pwpn 安分守己
pwpt 空额
pwpv 窃案
pwpw 窗帘 窟窿 窈窕
pwpy 窥视
pwq 穸
pwqa 容错
pwqb 宿怨
pwqd 突然
pwqf 穿针
pwqg 窝铺
pwqh 窗外
pwqk 祈使句
pwqp 冤假错案
pwqq 补偿金
pwqr 穷追猛打
pwqt 窜犯
pwqu 安贫乐道 穸
pwqy 容留
pwr 窑
pwrc 塞翁失马
pwrd 窜扰
pwrh 察看
pwri 空挡
pwrm 窑 空缺
pwrn 空气
pwrp 窘迫 窥探
pwrq 穷鬼
pwrr 空白
pwrt 穿插 空手
pwry 窳
pwsa 窗框
pwsc 穿梭
pwsd 穹顶
pwse 窝棚
pwsg 穷酸
pwsh 空想
pwsi 空档
pwso 空楼
pwsq 窗檐
pwsr 窗板
pwst 空格
pwsw 空枪
pwt 窗
pwtd 宿敌
pwte 穿透
pwtf 窄 穿行
pwtg 寄人篱下
pwth 窒息
pwtj 容得
pwtk 容积 窖
pwtm 容身
pwto 空翻
pwtp 窆
pwtq 窗
pwtr 农作物
pwts 空箱
pwtt 窃笑
pwty 穿入 窜入
pwu 穴
pwua 空瓶
pwub 罕闻
pwud 穿着 空头
pwue 空前
pwui 空阔
pwuj 空间 究竟 窨
pwuk 窘况
pwum 宿弊
pwup 邃
pwus 空闲
pwut 容颜 穴道
pwuw 安全阀
pwuy 窍门
pwv 究
pwvb 究
pwve 空姐
pwvi 家贫如洗
pwvj 空巢
pwvk 窘
pwvm 军令如山
pwvo 空灵
pwvt 窠臼
pwvy 容忍
pww 容
pwwf 宿舍
pwwg 宿命
pwwj 窬
pwwk 容
pwwn 窥伺
pwws 窗体
pwwt 空余
pwwu 空位 穴位
pwwv 宿仇
pwww 穷人
pwwx 社会化
pwwy 空集
pwx 穹
pwxa 窜红
pwxb 穹
pwxg 穿线
pwxi 窗纱
pwxj 空费
pwxl 窈
pwxm 容纳
pwxn 空幻
pwxq 窗纸
pwxt 窗缝
pwxu 空谷幽兰
pwy 鹤
pwye 穿衣
pwyg 宿主 鹤
pwyh 容让
pwym 空调
pwyn 窗户
pwyo 突变 空谈
pwyt 空话 容许
pwyw 空座
pwyy 社会主义
px 它
pxb 它
pxet 它用
pxge 字母表
pxgj 冠绝一时
pxis 塞纳河
pxkk 补给品
pxrf 神经质
pxrl 祸结兵连
pxrn 它所
pxrq 它的
pxto 字纸篓
pxug 神经病
pxuj 它意
pxwf 穷乡僻壤
pxwt 它途
pxwu 它们
pxxg 补给线
pxyy 家弦户诵
py 社
pya 祺
pyab 礼节
pyaj 祖墓
pyal 神功
pyap 祖茔
pyaq 社区
pyat 神医
pyaw 礼花 祺
pyb 祁
pybh 祁
pybi 祖孙
pybk 神职
pybm 礼聘
pybp 禅院
pybq 神聊
pybw 祛除
pyca 社戏
pycb 神驰
pyce 神勇
pycf 神圣
pycq 察言观色
pyd 祷
pydc 祓
pydd 禊
pydf 祷
pydg 神威 祜
pydj 祖辈
pydk 祐
pydn 礼成
pydr 祝愿
pyds 神奇
pydt 祝寿
pydw 祀奉
pydx 神龙
pydy 神态
pye 祖
pyeb 礼服
pyec 祸胎
pyee 礼貌
pyeg 祖
pyes 神采
pyf 社
pyfa 视域
pyfb 福地
pyfc 祛
pyff 神坛
pyfg 社
pyfh 祎
pyfi 祈求
pyfk 禧
pyfm 穿衣戴帽
pyfn 神志
pyft 礼教
pyfy 祖坟
pyg 福
pyga 神武
pygd 祆
pyge 神甫
pygj 禅理
pygk 神速
pygl 福
pygm 祥瑞
pygy 寓庄于谐
pyh 祉
pyhg 祉
pyhh 祖上
pyhi 视频
pyhk 视点
pyhm 祯
pyhw 祈盼
pyi 礻
pyic 神汉
pyif 礼法
pyih 神婆
pyii 祸水
pyip 视觉 礼堂 神学
pyiq 祧
pyis 祝酒
pyiy 神游
pyj 神
pyje 神明
pyjf 视野
pyjg 禅师 祖师
pyjh 神
pyjm 礼遇
pyjt 福星
pyk 祝
pykh 视距
pykj 视唱
pykk 礼品 祸患
pykm 社员
pykq 祝
pykr 视听
pykw 祸
pylf 社团
pylg 祖国
pylk 祝贺
pyll 福田
pyln 神思
pylp 祁连
pylt 视力 视图
pylw 视界
pym 视
pyma 神曲
pymg 视同
pymh 礼帽
pymq 视
pyn 冖 祀
pyna 神殿
pync 神怪
pynd 祖居
pyng 神情
pynk 祠
pynn 礼 祀
pynt 神性
pynu 视屏
pyny 辶
pyog 祖业
pyoo 社火
pyop 神迷
pyoq 礼炮
pyos 神灯
pyov 礼数
pypd 祸害
pype 神农
pypf 祖宗 禅宗
pypg 禅定
pypp 视之
pypr 礼宾
pypv 福安
pypw 视察
pypy 祝福 祈祷 福祉
pyq 祢
pyqb 寡廉鲜耻
pyqc 神色
pyqe 视角
pyqi 祢
pyqn 礼包
pyqq 礼金
pyqu 穿衣镜
pyqy 祗
pyr 祈
pyrb 福报
pyrd 礼拜
pyrg 神兵
pyrh 祈
pyrn 神气 福气
pyrp 神探
pysc 神权
pysd 禅杖
pysh 福相
pysm 禅机
pyss 福柯
pyst 实言相告
pysv 祸根
pysy 祖述
pyt 祚
pyta 社长
pytd 祖籍 神智 祝辞
pyte 神舟
pytf 祖先 祷告 祚
pyth 神算
pytj 福利
pytk 祥和
pytl 社稷
pytn 神秘
pytr 礼物
pytu 视乎
pyty 神往
pyu 祥
pyud 祥 视差
pyuf 禅
pyuj 福音 神韵 神童
pyuk 礼部
pyum 客户端
pyuo 禚
pyuq 社交
pyut 祸首
pyuy 禅门
pyv 禄
pyvf 福建
pyvi 神妙 禄
pyvo 神灵
pyvt 社群
pyvv 神女
pywc 祝颂
pywd 神佑
pywf 社会
pywg 神龛
pywk 社保
pywm 神仙
pywn 神似
pywq 祖父 神父 神像
pywt 视作 神伤
pywu 神位
pywv 福分
pyww 礼俗
pywx 神化
pywy 礼仪
pyxc 神经
pyxg 视线 祖母
pyxx 礼毕
pyy 宀
pyyb 礼义廉耻
pyye 禳
pyyg 社评
pyyh 礼让
pyyl 视为
pyym 神庙
pyyn 祝词 祈望 宀
pyyo 神迹
pyys 密麻麻
pyyt 神话 福州 神州
pyyw 社论
pyyx 祖率
pyyy 祷文
q 我 金
qa 氏
qaaa 钳工
qaai 错落
qaam 昏黄
qaap 昏蒙
qaaw 昏花
qabb 钳子
qabk 昏聩
qabm 名落孙山
qabn 错了
qad 锘
qadc 错码
qadg 错落有致
qadk 锘
qadu 昏厥
qady 名花有主
qaep 错爱
qaet 错用
qaf 钳
qafa 象牙塔
qafb 锚地
qafc 错动
qafg 钳
qafo 负薪救火
qafp 错过
qafr 金瓯无缺
qaga 错开
qagd 色若死灰
qagk 错事
qah 舛
qahb 铘
qahh 舛
qahs 桀
qaht 昏睡
qahy 昏眩
qaie 镜花水月
qaij 昏浊
qain 错漏
qaip 错觉 昏沉
qair 锚泊
qaj 错
qaja 狗苟蝇营
qajd 镆
qajf 昏
qajg 错
qaji 乌苏里江
qajp 昏晕
qajt 昏星
qaju 昏暗
qak 钷
qakg 钷
qakh 错路
qakl 错别
qal 锚
qald 锚固
qalf 昏黑
qalg 锚
qan 钜
qanc 错怪
qand 独幕剧
qanf 错层
qang 钜
qank 错愕
qant 钺
qany 铽
qaop 昏迷
qap 铹
qapb 错字
qapf 象牙之塔
qapl 铹
qapn 包藏祸心
qapv 错案
qaqc 金戈铁马
qaqd 铙钹
qaql 锚链
qaqo 包工包料
qaqq 错金
qaqs 错杀
qaqt 多劳多得
qarh 错看
qarm 钳制
qart 急功近利
qarw 错失
qarx 金戒指
qasd 狼牙棒
qat 铙
qatd 错乱
qatf 错待
qath 错处
qatj 匈牙利
qatq 铙
qatu 印花税
qaud 包工头
qav 氏
qavs 错杂
qavt 昏君
qawc 镬
qawf 错会
qawg 昏倒
qawo 乌七八糟
qawu 错位
qaxf 锋芒毕露
qaxp 错综
qay 氐
qayb 邸
qayg 鸱
qayi 氐
qayk 错误
qayl 负荆请罪
qayn 错词
qayt 氏族
qayv 昏庸
qayw 错认
qb 凶
qbad 危险期
qbbb 镊子
qbbc 迎娶
qbbq 乐陶陶
qbbw 凶险
qbc 镊
qbcc 镊
qbcf 怨怼
qbdk 狮子大开口
qbdm 迎面
qbdn 怨尤
qbdw 迎春
qbfm 迎击
qbfn 怨声
qbfq 凶顽
qbfr 负隅顽抗
qbg 铒
qbgk 凶事
qbgo 迎来 凶恶
qbgq 凶残
qbgx 怨毒
qbh 钌
qbha 凶虐
qbhf 眢
qbhh 迎上
qbhk 迎战
qbim 猫耳洞
qbiq 凶兆 凶光
qbja 凶暴
qbjn 狼子野心
qbk 凶
qbkk 凶器
qbl 锰
qblg 锰
qbmd 鸳鸯
qbmq 迎风
qbn 怨
qbnf 怨愤
qbnj 凶悍
qbnt 怨悔
qbnu 怨
qbnv 怨恨
qbny 铁了心
qboq 凶焰
qbp 迎
qbpk 迎
qbpr 迎宾
qbpt 凶宅
qbpv 凶案
qbpy 凶神
qbq 鸳
qbqg 鸳
qbqm 锰钢
qbqs 凶杀
qbqt 凶猛 凶狠 凶犯
qbqv 凶煞
qbrh 凶年
qbrn 怨气
qbrq 狮子搏兔
qbrt 凶手
qbru 迎接
qbs 锕
qbsa 凶横
qbsg 夕阳西下
qbsh 凶相
qbsk 锕
qbss 独出机杼
qbtd 迎敌
qbtf 凶徒
qbud 迎头
qbuq 鱼子酱
qbus 迎新
qbvc 怨怒
qbvu 凶嫌
qbvv 怨妇
qbwg 迎合
qbwh 迎候
qbwj 怨偶
qbws 独联体
qbwv 怨仇
qbwy 凶信
qbxa 夕阳红
qbyn 怨望
qbyw 狮子座
qbyy 怨言
qc 色
qcab 狂欢节
qcae 色散
qcaf 勾勒
qcan 色艺
qcaq 勾芡
qcb 色
qcbb 色子
qcbc 勾取
qcbm 勾出
qcbq 杀鸡取卵
qccn 皱巴巴
qcdh 迎难而上
qcej 色胆
qcem 勾股
qces 色彩
qcev 杀鸡用牛刀
qcew 勾脸
qcf 铎
qcfc 勾魂
qcfh 勾起 铎
qcgf 色球
qcgk 色带
qcgl 勾画
qcgu 犹豫不决
qcgv 杀鸡焉用牛刀
qcgx 色素
qcgy 色斑
qci 勾
qcic 色泽
qcid 多难兴邦
qcij 色温
qcip 色觉
qciq 色光
qcis 色酒
qciv 勾当
qcjp 色晕
qckf 色味
qckh 勾践
qckq 杀鸡吓猴
qclp 勾连
qcmm 外柔内刚
qcn 钯
qcng 色情
qcnt 针对性
qcny 色心
qcop 色迷
qcou 色料
qcpu 刎颈之交
qcqc 勾勾
qcqi 勾销
qcqt 色狼
qcqu 金鸡独立
qcra 勾搭
qcrq 色鬼
qcrr 勾魄
qcrt 勾手
qcru 色拉
qcsh 色相
qcsu 色样
qctf 勾选
qctj 色香
qcto 色釉
qctt 色笔
qctx 色系
qcud 色差
qcuj 铁观音
qcuk 勾兑
qcwq 杀鸡儆猴
qcww 色欲
qcwy 勾住
qcxf 勾结
qcxh 勾引
qcxk 色织
qcxu 色弱
qcxw 勾绘
qcy 钗
qcya 色度
qcyk 色衰
qcym 色调
qcyn 色盲
qcyo 色变
qcys 色魔
qcyt 色诱
qcyu 色谱
qcyy 钗
qd 然
qdaa 铸工
qdak 乐在其中
qdaw 迎春花
qdb 危
qdbb 危
qdbw 危险
qdc 郄
qdcb 郄
qdcw 危难
qdcy 钹
qddb 危厄
qddh 鲜艳夺目
qddm 然而
qddn 铸成
qddq 铸成大错
qde 肴
qdea 希腊
qdef 肴
qdeg 铕
qdep 狼奔豕突
qdex 卵磷脂
qdey 危及
qdf 锛
qdfa 锛
qdfb 铤而走险
qdfd 危城
qdfi 希求
qdft 铁面无私
qdfu 危境
qdg 钴
qdga 铸型
qdgf 乌龙球
qdgh 铸下
qdgi 然否
qdgq 危殆
qdgw 锲而不舍
qdh 锲
qdhd 锲
qdhk 争夺战
